username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Lee Baxter ♀️☮,737535261324640262,"Redmond, WA",2023-01-04 05:54:13,"@LeeGosselin2 @BeschlossDC How nice that you think you're funny!
However, you're not.
You're also quite mistaken, b… https://t.co/F1vvQzVBFX",0,Twitter Web App,
yeah boi,1450602463325835272,"Renton, WA",2023-01-04 02:59:18,@VeteranTakeBack Let me guess BLM except when they fight each other,0,Twitter for iPhone,
Samantha Stark,2671438789,"Seattle, WA",2023-01-04 02:41:50,@micmaggy @sf_cooper @Real_RobN He’s literally been banned by the Portland BLM group for being an agitator for viol… https://t.co/KOydBG8bch,0,Twitter for iPhone,
Pieter Henning,1493244990,S.E.A.,2023-01-04 02:07:33,"@Emilio2763 yip attend another BLM rally, see how far it gets you",0,Twitter Web App,
🐰 🔈#SOTH📢,1365444820357967874,"Seattle, WA",2023-01-04 00:17:05,The fact that @gop didn't do damn $hit to get to the bottom of j6 and did nothing to folks who are still locked up… https://t.co/235G3rbt23,2,Twitter for Android,
Cody Deasy,29677685,"Seattle, Washington",2023-01-03 21:36:38,"@A_Lefty_Gamer ""Political prisoners"". Hilarious twist on the word ""traitors"". If BLM or your much feared ""Antifa"" s… https://t.co/MVmLhqOsIO",0,Twitter for Android,
Ned Whitman,1432160424951226370,"Seattle, WA",2023-01-03 20:56:16,Fun fact: I was the only Primal Screamer to join in and chant with the BLM protest after the run in the Yard at Lam… https://t.co/DXGqsdu6gY,0,Twitter for iPhone,
America Mike,1609272802804400128,"Seattle, WA",2023-01-03 20:00:53,@zaiavibes @t0nyfergusonfan @DailyLoud What about the slavery in africa right now? Oh yea you cant blame whi Ye peo… https://t.co/pqMnYgC98x,0,Twitter for iPhone,
America Mike,1609272802804400128,"Seattle, WA",2023-01-03 19:56:23,@zaiavibes @t0nyfergusonfan @DailyLoud Nah your BLM fraud organization took 80 mill and spent it on living in white neighborhoods.,0,Twitter for iPhone,
Arclight🇧🇸|🇹🇹|🇺🇸|🇺🇦,35666772,"Seattle, WA",2023-01-03 19:00:19,@Soreilly336 @BxknownSteve @wbd he ius referring to my support for blm in my profile and I am guessing assuming I am white from my pfp.,0,Twitter Web App,
Brian Moore 🏅,16119528,"Seattle, WA",2023-01-03 14:21:08,@DogRealtorAZ Yet they didn’t do this for BLM riots.,0,Twitter for iPad,
Schnider,1528974033592627200,"Seattle, Washington",2023-01-03 13:57:47,"Just followed an NSFW account, can’t block me because BLM am I right",0,Twitter for iPad,
Nicholas Van Buren,244859063,"Seattle, WA",2023-01-03 13:08:02,@ScandinavianBot @thehoffather @GovInslee Yeah well don't go into a zone the police abandoned in the dead of night.… https://t.co/QM482w2UkE,0,Twitter for Android,
Samantha Stark,2671438789,"Seattle, WA",2023-01-03 13:00:32,"@micmaggy @sf_cooper @Real_RobN a) because there isn’t a shred of evidence that contradicts me

b) John Sullivan is… https://t.co/iSK5BWyYCl",0,Twitter for iPhone,
Kimberly K I n c h e n,230310109,Seattle,2023-01-03 00:56:55,"@raven_mcampbell @oowm @TheArchitectAce Yeah, there are National Recreation Areas, National Wildlife Preserves, BLM… https://t.co/TLJKCpj9rp",0,Twitter Web App,
poolD321,1348814798973136897,"Seattle, WA",2023-01-02 20:02:46,"@stephen_barrett @dbongino 2 things missing from your bio.
Your preferred pronouns and BLM.",0,Twitter for iPhone,
Daniel Nguyen,1490522834459762688,"Seattle, Washington",2023-01-02 17:29:11,@SocialistMMA Red Maga is fine with that but would turn on Trump if he supported BLM.,0,Twitter for Android,
MyBlueVoteCounts,1541436616329158656,"Seattle, WA",2023-01-02 12:28:38,#MondayMotivation STOP THE VIOLENCE STOP THE SLAUGHTER - NO LIVES MATTER UNTIL #BLM #2023NewYear https://t.co/xCrHXIbuju,1,Twitter for iPhone,
America Mike,1609272802804400128,"Seattle, WA",2023-01-02 06:39:16,@DSCBland @ANGELAWASHERE95 @lionesscrowned Blm was really helpful😂😂😂😂😂,0,Twitter for iPhone,
America Mike,1609272802804400128,"Seattle, WA",2023-01-02 06:37:54,@ANGELAWASHERE95 why was BLM  a scam? The owners spent the money on new houses in white neighborhoods. But youll pr… https://t.co/tSJgU0QSzh,0,Twitter for iPhone,
byron@bikehugger,10803212,Seattle,2023-01-02 05:57:59,"Next up for Mongo a picture deal.
https://t.co/06puhy7X1V",0,Twitter for Android,
Val,1587130403290480641,"Seattle, WA",2023-01-02 01:57:56,"I haven't been downtown Seattle since BLM/Antifa riots. 
https://t.co/qd2zOv8sEE",0,Twitter Web App,
Hyster Prynne🇺🇸,1580292120426188800,Seattle ,2023-01-01 21:25:26,@EMbunchofnumbrs @ImMeme0 @charliekirk11 @AbrahamHamadeh @katiehobbs It's pathetic that you will stick to this perc… https://t.co/h9DKeojqMG,0,Twitter Web App,
Hyster Prynne🇺🇸,1580292120426188800,Seattle ,2023-01-01 21:18:38,@EMbunchofnumbrs @ImMeme0 @charliekirk11 @AbrahamHamadeh @katiehobbs I dont care about your sudies or your percetag… https://t.co/TZU6frXIQC,0,Twitter Web App,
Jason Chorak,107831498,Seattle Washington,2023-01-01 21:00:51,@RealMattCouch Must be BLM robbing stores again,0,Twitter for iPhone,
DjXRuckus,1032346723371208704,"Seattle, WA",2023-01-01 19:51:42,@shiznitus @CrazyUncleCO @hodgetwins My dude which is a lie because both are easily proven. CNN HQ was attacked dur… https://t.co/mUwf2PkPXG,0,Twitter for Android,
ReasonfromRight,1604239210164424704,"Seattle, WA",2023-01-01 19:23:34,"@TimRunsHisMouth Apparently not much, because those communities are worse off while the leaders of BLM have become incredibly well off.",0,Twitter Web App,
